Code,City,State,Code Type
ABE,Aberdeen, WA,Port Of Entry
ABQ,Albuquerque, NM,Port Of Entry
ADT,Amistad Dam, TX,Port Of Entry
ALP,Alpena, MI,Port Of Entry
AGN,Algonac, MI,Port Of Entry
AKR,Akron, OH,Port Of Entry
ALC,Alcan, AK,Port Of Entry
ANA,Anacortes, WA,Port Of Entry
AND,Andrade, CA,Port Of Entry
ANT,Antler, ND,Port Of Entry
ARU,Aruba,,Port Of Entry
ATB,Ashtabula, OH,Port Of Entry
ATW,Appleton, WI,Port Of Entry
AXB,Alexandria Bay, NY,Port Of Entry
BAU,Baudette, MN,Port Of Entry
BBM,Brownsville, B&M Bridge,Port Of Entry
BCY,Bay City, MI,Port Of Entry
BEA,Beaumont, TX,Port Of Entry
BEE,Beecher Falls, VT,Port Of Entry
BGC,Bridgeport, CT,Port Of Entry
BHM,Bar Harbor, ME,Port Of Entry
BLA,Blaine, WA,Port Of Entry
BOC,Boca Grande, FL,Port Of Entry
BOS,Boston, MA,Port Of Entry
BRO,Brownsville, TX,Port Of Entry
BTM,Butte, MT,Port Of Entry
BUF,Buffalo, NY,Port Of Entry
BWM,Bridgewater, ME,Port Of Entry
CAN,Cape Canaveral, FL,Port Of Entry
CHA,"Charlotte Amalie, St. Thomas", VI,Port Of Entry
CHF,Chief Mountain, MT,Port Of Entry
CHL,Charleston, SC,Port Of Entry
CHR,"Christiansted, St. Croix", VI,Port Of Entry
CIN,Cincinnati, OH,Port Of Entry
CLE,Cleveland, OH,Port Of Entry
CLS,Calais, ME,Port Of Entry
CNA,Canaan, VT,Port Of Entry
CNJ,Camden, NJ,Port Of Entry
COL,Columbus, NM,Port Of Entry
COR,Corpus Christi, TX,Port Of Entry
CRA,Crane Lake, MN,Port Of Entry
CRU,"Cruz Bay, St. John", VI,Port Of Entry
CRY,Carbury, ND,Port Of Entry
DAL,Dallas, TX,Port Of Entry
DBL,Dublin, Ireland,Port Of Entry
DCB,Detroit,MI,Port Of Entry
DEN,Denver, CO,Port Of Entry
DET,Detroit, MI,Port Of Entry
DLB,Del Bonita, MT,Port Of Entry
DMA,Detroit, MI,Port Of Entry
DNS,Dunseith, ND,Port Of Entry
DSM,Des Moines, IA,Port Of Entry
DVD,Dover, AFB DE,Port Of Entry
EDA,Edmonton, AB Canada,Port Of Entry
EGP,Eagle Pass, TX,Port Of Entry
ELY,Ely, MN,Port Of Entry
EPI,Eastport, ID,Port Of Entry
ERC,East Richford, VT,Port Of Entry
EVE,Everett, WA,Port Of Entry
FAJ,Fajardo, PR,Port Of Entry
FAR,Fargo, ND,Port Of Entry
FDE,Eagle Pass, Fort Duncan Bridge,Port Of Entry
FHK,Fort Hancock, TX,Port Of Entry
FRB,Fairbanks, AK,Port Of Entry
FRI,Friday Harbor, WA,Port Of Entry
FRN,Fernandina, FL,Port Of Entry
FTC,Fort Covington, NY,Port Of Entry
FTH,Fort Hancock, NM,Port Of Entry
FTL,Fort Lauderdale, FL,Port Of Entry
FTM,Fort Meyers, FL,Port Of Entry
GAL,Galveston, TX,Port Of Entry
GEO,Georgetown, SC,Port Of Entry
GLO,Gloucester, MA,Port Of Entry
GPM,Grand Portage, MN,Port Of Entry
GRE,Great Falls, MT,Port Of Entry
GRO,Grosse Isle, MI,Port Of Entry
GRR,Greer, SC,Port Of Entry
GSN,"Saipan Island,", MP,Port Of Entry
